timestamp,open,high,low,close,volume,log_day_return,daily_volatility,rolling_volatility
2025-07-20,117840.01,118856.8,116467.02,117265.12,12962.92889,,,
2025-07-21,117265.11,119676.73,116515.0,117380.36,17107.33128,0.0009822478512299445,0.0009822478512299445,
2025-07-22,117380.36,120247.8,116128.0,119954.42,20959.12973,0.021692235206271098,0.021692235206271098,
2025-07-23,119954.43,120090.0,117301.0,118755.99,14558.75083,-0.01004095354590667,0.01004095354590667,0.25575615764650494
2025-07-24,118756.0,119450.0,117103.1,118340.99,15806.89043,-0.0035006808084234644,0.0035006808084234644,0.2659831668241232
2025-07-25,118340.98,118451.57,114723.16,117614.31,38406.34873,-0.006159491204291899,0.006159491204291899,0.05221329317971728
2025-07-26,117614.31,118297.35,117138.38,117919.99,6991.67206,0.002595631902628258,0.002595631902628258,0.07125469980567098
2025-07-27,117919.99,119766.65,117825.5,119415.55,9328.30919,0.012603083346820849,0.012603083346820849,0.149033854174389
2025-07-28,119415.56,119800.0,117427.5,118062.32,13961.74754,-0.011396806340220294,0.011396806340220294,0.19136653032825185
2025-07-29,118062.32,119273.36,116950.75,117950.76,15137.93445,-0.0009453714032179849,0.0009453714032179849,0.19102117312106578
2025-07-30,117950.75,118792.0,115796.23,117840.3,15586.73631,-0.0009369312651676298,0.0009369312651676298,0.09582768442725337
2025-07-31,117840.29,118922.45,115500.0,115764.08,17010.0073,-0.01777599093867902,0.01777599093867902,0.15429386814323143
2025-08-01,115764.07,116052.0,112722.58,113297.93,24487.10206,-0.02153342924967691,0.02153342924967691,0.1741243696561366
2025-08-02,113297.92,114063.49,112003.0,112546.35,11507.33428,-0.006655760991846373,0.006655760991846373,0.12281351928798687
2025-08-03,112546.35,114799.97,111920.0,114208.8,7397.76046,0.014663215250676506,0.014663215250676506,0.2888143262097288
2025-08-04,114208.81,115720.0,114107.6,115055.03,9667.67916,0.007382183600908784,0.007382183600908784,0.1720238194226147
2025-08-05,115055.03,115127.81,112650.0,114129.75,12042.79078,-0.008074576568790104,0.008074576568790104,0.18432348036390878
2025-08-06,114129.75,115716.0,113355.13,114992.27,9761.15318,0.00752894963418136,0.00752894963418136,0.14234088034544048
2025-08-07,114992.27,117621.0,114259.0,117472.01,13468.56263,0.021335183728332856,0.021335183728332856,0.23357799015247438
2025-08-08,117472.02,117630.0,115878.71,116674.74,10045.31278,-0.00681002901994848,0.00681002901994848,0.22340904008743476
2025-08-09,116674.74,117944.05,116299.13,116462.25,9514.13144,-0.0018228772606176664,0.0018228772606176664,0.23841027626247943
2025-08-10,116462.25,119311.11,116460.63,119294.01,14322.77073,0.024023932127064194,0.024023932127064194,0.26274287949398006
2025-08-11,119294.27,122335.16,118050.11,118686.0,26494.33429,-0.005109768025592827,0.005109768025592827,0.253299457209005
2025-08-12,118686.0,120324.43,118207.47,120134.08,16720.10893,0.01212710210107966,0.01212710210107966,0.23253280010068786
2025-08-13,120134.09,123667.79,118920.92,123306.43,23210.07102,0.02606410567702287,0.02606410567702287,0.2478966050731292
