timestamp,open,high,low,close,volume,fundingRate,markPrice,openInterestAmount,openInterestValue,CMCCirculatingSupply
1663068300000,22671.14,22685.0,22603.57,22649.29,1574.1629,,,,,
1663068600000,22649.96,22663.45,22516.85,22543.79,2197.37684,,,,,
1663068900000,22541.74,22630.32,22536.03,22554.5,2232.66841,,,,,
1663069200000,22554.51,22574.99,22495.0,22570.18,1770.46071,,,,,
1663069500000,22570.18,22573.07,22527.77,22541.91,1319.00687,,,,,
1663069800000,22542.65,22570.93,22482.0,22540.0,2063.81204,,,,,
1663070100000,22539.99,22541.72,22510.01,22522.74,1002.33376,,,,,
1663070400000,22522.74,22628.58,22515.2,22601.12,2158.06829,,,,,
1663070700000,22601.12,22635.07,22574.56,22611.74,1462.15491,,,,,
1663071000000,22612.63,22633.23,22579.83,22605.66,1353.68985,,,,,
1663071300000,22606.96,22651.99,22598.92,22633.16,1478.09572,,,,,
1663071600000,22633.16,22703.03,22605.68,22698.12,1700.73808,,,,,
1663071900000,22698.12,22790.73,22495.0,22713.69,4366.9142,,,,,
1663072200000,22713.69,22799.0,21663.53,21913.52,9103.89543,,,,,
1663072500000,21908.06,21968.33,21710.0,21798.43,4830.05386,,,,,
1663072800000,21799.1,21849.64,21605.01,21664.12,4025.44193,,,,,
1663073100000,21664.11,21782.54,21575.01,21654.69,4058.91385,,,,,
1663073400000,21652.08,21665.0,21342.0,21422.16,5614.07464,,,,,
1663073700000,21422.16,21515.0,21390.0,21398.32,3814.8237,,,,,
1663074000000,21398.32,21520.0,21373.96,21471.81,2664.58277,,,,,
1663074300000,21471.81,21485.71,21350.54,21463.99,2685.78245,,,,,
1663074600000,21463.99,21473.85,21380.0,21396.02,2305.75083,,,,,
1663074900000,21396.02,21445.0,21258.36,21436.27,3423.854,,,,,
1663075200000,21434.07,21438.09,21380.0,21407.54,2007.51298,,,,,
1663075500000,21405.36,21417.39,21314.25,21335.26,2442.16755,,,,,
1663075800000,21335.26,21502.09,21320.51,21437.62,3168.14493,,,,,
1663076100000,21437.62,21440.5,21288.3,21378.89,2682.68909,,,,,
1663076400000,21381.53,21381.53,21291.0,21314.62,2463.80967,,,,,
1663076700000,21314.87,21347.16,21253.18,21332.86,2383.83436,,,,,
1663077000000,21332.86,21356.74,21298.94,21308.29,1890.6123,,,,,
1663077300000,21308.29,21316.82,21171.22,21193.61,3114.0871,,,,,
1663077600000,21196.25,21208.43,21056.34,21170.98,3687.78003,,,,,
1663077900000,21169.82,21263.27,21161.86,21257.95,2820.43817,,,,,
1663078200000,21256.02,21261.09,21197.83,21233.73,1870.50459,,,,,
1663078500000,21233.73,21248.65,21167.59,21246.47,1905.9393,,,,,
1663078800000,21245.91,21250.91,21179.67,21202.14,1529.37664,,,,,
1663079100000,21202.15,21225.0,21160.04,21200.22,1665.66822,,,,,
1663079400000,21200.22,21213.82,21143.23,21159.02,1878.12007,,,,,
1663079700000,21159.89,21180.41,21102.01,21125.49,1878.51226,,,,,
1663080000000,21125.49,21138.38,21072.55,21102.38,2162.52282,,,,,
1663080300000,21102.38,21109.03,20893.49,20913.29,3509.86324,,,,,
1663080600000,20913.29,20965.0,20860.02,20877.04,2917.65617,,,,,
1663080900000,20878.15,21061.0,20850.76,21010.72,3323.04161,,,,,
1663081200000,21009.74,21034.09,20962.96,21027.08,1836.60916,,,,,
1663081500000,21027.08,21069.3,20970.16,21029.78,1725.75002,,,,,
1663081800000,21029.78,21043.0,20900.01,20936.37,2485.90282,,,,,
1663082100000,20934.57,20954.25,20890.16,20915.65,2195.07786,,,,,
1663082400000,20915.65,20937.93,20830.92,20864.09,2077.68096,,,,,
1663082700000,20862.53,20922.04,20856.48,20920.01,1665.40191,,,,,
1663083000000,20918.33,20981.89,20904.18,20981.53,1712.54433,,,,,
1663083300000,20981.53,20992.47,20901.68,20940.07,1324.5307,,,,,
1663083600000,20938.71,20940.74,20865.41,20904.0,1608.20059,,,,,
1663083900000,20904.0,20905.37,20808.29,20821.63,2202.22669,,,,,
1663084200000,20820.64,20880.0,20751.0,20862.69,2330.21048,,,,,
1663084500000,20862.69,20880.0,20812.63,20829.77,1740.25576,,,,,
