unixtime,open,high,low,close,volume,label
1720094400000,57748.4,58350.0,56750.0,58137.6,110723.819,-1.0
1720108800000,58137.5,58653.4,57735.7,58267.0,42553.649,-1.0
1720123200000,58266.9,58800.0,56560.0,57045.9,49008.207,0.0
1720137600000,57045.9,57533.4,54918.3,55214.6,163719.762,0.0
1720152000000,55214.7,55350.0,53329.5,54389.4,128635.582,1.0
1720166400000,54389.4,55629.7,53870.4,55458.9,78963.666,0.0
1720180800000,55459.0,56663.5,54822.9,56637.5,106044.317,0.0
1720195200000,56637.5,57000.0,55781.8,56446.2,83444.612,0.0
1720209600000,56446.1,56847.0,56300.0,56604.9,16385.656,0.0
1720224000000,56604.9,56975.0,56157.3,56388.3,30655.656,0.0
1720238400000,56388.4,56660.0,56000.0,56571.1,26523.01,0.0
1720252800000,56571.1,56850.0,56412.5,56713.2,17676.392,0.0
1720267200000,56713.2,57420.0,56475.7,57285.4,38884.253,0.0
1720281600000,57285.4,58089.9,57150.0,57834.8,37978.044,0.0
1720296000000,57834.9,58472.0,57792.2,58216.0,26862.667,-1.0
1720310400000,58216.0,58443.0,57820.0,57943.9,38936.027,0.0
1720324800000,57944.0,57990.3,57041.7,57344.4,37722.788,0.0
1720339200000,57344.5,57899.9,57331.2,57436.9,23278.542,0.0
1720353600000,57436.9,57600.0,56555.1,56806.2,42475.284,0.0
1720368000000,56806.2,57372.2,56723.0,57133.9,22235.384,0.0
1720382400000,57133.9,57301.8,55688.0,55830.9,45713.956,0.0
1720396800000,55831.0,55999.0,54243.1,55136.6,97328.846,0.0
1720411200000,55136.6,55878.0,54935.3,55828.4,40128.204,0.0
1720425600000,55828.4,58200.0,55715.2,57137.3,124398.512,0.0
1720440000000,57137.3,57629.3,54890.0,55736.8,131119.632,1.0
1720454400000,55736.8,56550.0,55400.5,56462.3,44260.458,0.0
1720468800000,56462.9,56955.0,56175.4,56686.4,26871.305,0.0
1720483200000,56686.4,57350.0,56256.2,57139.5,45966.233,0.0
1720497600000,57139.5,57744.8,57000.0,57102.5,36022.582,0.0
1720512000000,57102.5,57899.9,57000.0,57407.1,42043.643,0.0
1720526400000,57407.1,58159.6,56862.9,57445.3,74279.844,0.0
1720540800000,57445.3,58290.6,57318.3,57837.7,40891.309,0.0
1720555200000,57837.7,58256.0,57684.6,58023.2,18033.437,0.0
1720569600000,58023.1,58190.0,57315.9,58157.7,27261.073,0.0
1720584000000,58157.6,59449.6,58153.3,58948.1,69642.36,0.0
1720598400000,58948.0,59013.9,58288.0,58469.4,39133.753,0.0
