,info,symbol,timestamp,datetime,timeframe,longShortRatio
26,"{'symbol': 'BTCUSDT', 'longAccount': '0.6597', 'longShortRatio': '1.9386', 'shortAccount': '0.3403', 'timestamp': '1757206800000'}",BTC/USDT:USDT,1757206800000,2025-09-07T01:00:00.000Z,,1.9386
27,"{'symbol': 'BTCUSDT', 'longAccount': '0.6596', 'longShortRatio': '1.9377', 'shortAccount': '0.3404', 'timestamp': '1757207100000'}",BTC/USDT:USDT,1757207100000,2025-09-07T01:05:00.000Z,,1.9377
28,"{'symbol': 'BTCUSDT', 'longAccount': '0.6598', 'longShortRatio': '1.9394', 'shortAccount': '0.3402', 'timestamp': '1757207400000'}",BTC/USDT:USDT,1757207400000,2025-09-07T01:10:00.000Z,,1.9394
29,"{'symbol': 'BTCUSDT', 'longAccount': '0.6600', 'longShortRatio': '1.9412', 'shortAccount': '0.3400', 'timestamp': '1757207700000'}",BTC/USDT:USDT,1757207700000,2025-09-07T01:15:00.000Z,,1.9412
30,"{'symbol': 'BTCUSDT', 'longAccount': '0.6601', 'longShortRatio': '1.9420', 'shortAccount': '0.3399', 'timestamp': '1757208000000'}",BTC/USDT:USDT,1757208000000,2025-09-07T01:20:00.000Z,,1.942
31,"{'symbol': 'BTCUSDT', 'longAccount': '0.6602', 'longShortRatio': '1.9429', 'shortAccount': '0.3398', 'timestamp': '1757208300000'}",BTC/USDT:USDT,1757208300000,2025-09-07T01:25:00.000Z,,1.9429
32,"{'symbol': 'BTCUSDT', 'longAccount': '0.6597', 'longShortRatio': '1.9386', 'shortAccount': '0.3403', 'timestamp': '1757208600000'}",BTC/USDT:USDT,1757208600000,2025-09-07T01:30:00.000Z,,1.9386
33,"{'symbol': 'BTCUSDT', 'longAccount': '0.6598', 'longShortRatio': '1.9394', 'shortAccount': '0.3402', 'timestamp': '1757208900000'}",BTC/USDT:USDT,1757208900000,2025-09-07T01:35:00.000Z,,1.9394
34,"{'symbol': 'BTCUSDT', 'longAccount': '0.6598', 'longShortRatio': '1.9394', 'shortAccount': '0.3402', 'timestamp': '1757209200000'}",BTC/USDT:USDT,1757209200000,2025-09-07T01:40:00.000Z,,1.9394
35,"{'symbol': 'BTCUSDT', 'longAccount': '0.6598', 'longShortRatio': '1.9394', 'shortAccount': '0.3402', 'timestamp': '1757209500000'}",BTC/USDT:USDT,1757209500000,2025-09-07T01:45:00.000Z,,1.9394
36,"{'symbol': 'BTCUSDT', 'longAccount': '0.6602', 'longShortRatio': '1.9429', 'shortAccount': '0.3398', 'timestamp': '1757209800000'}",BTC/USDT:USDT,1757209800000,2025-09-07T01:50:00.000Z,,1.9429
37,"{'symbol': 'BTCUSDT', 'longAccount': '0.6605', 'longShortRatio': '1.9455', 'shortAccount': '0.3395', 'timestamp': '1757210100000'}",BTC/USDT:USDT,1757210100000,2025-09-07T01:55:00.000Z,,1.9455
38,"{'symbol': 'BTCUSDT', 'longAccount': '0.6604', 'longShortRatio': '1.9446', 'shortAccount': '0.3396', 'timestamp': '1757210400000'}",BTC/USDT:USDT,1757210400000,2025-09-07T02:00:00.000Z,,1.9446
39,"{'symbol': 'BTCUSDT', 'longAccount': '0.6600', 'longShortRatio': '1.9412', 'shortAccount': '0.3400', 'timestamp': '1757210700000'}",BTC/USDT:USDT,1757210700000,2025-09-07T02:05:00.000Z,,1.9412
40,"{'symbol': 'BTCUSDT', 'longAccount': '0.6599', 'longShortRatio': '1.9403', 'shortAccount': '0.3401', 'timestamp': '1757211000000'}",BTC/USDT:USDT,1757211000000,2025-09-07T02:10:00.000Z,,1.9403
41,"{'symbol': 'BTCUSDT', 'longAccount': '0.6597', 'longShortRatio': '1.9386', 'shortAccount': '0.3403', 'timestamp': '1757211300000'}",BTC/USDT:USDT,1757211300000,2025-09-07T02:15:00.000Z,,1.9386
42,"{'symbol': 'BTCUSDT', 'longAccount': '0.6588', 'longShortRatio': '1.9308', 'shortAccount': '0.3412', 'timestamp': '1757211600000'}",BTC/USDT:USDT,1757211600000,2025-09-07T02:20:00.000Z,,1.9308
43,"{'symbol': 'BTCUSDT', 'longAccount': '0.6585', 'longShortRatio': '1.9283', 'shortAccount': '0.3415', 'timestamp': '1757211900000'}",BTC/USDT:USDT,1757211900000,2025-09-07T02:25:00.000Z,,1.9283
44,"{'symbol': 'BTCUSDT', 'longAccount': '0.6585', 'longShortRatio': '1.9283', 'shortAccount': '0.3415', 'timestamp': '1757212200000'}",BTC/USDT:USDT,1757212200000,2025-09-07T02:30:00.000Z,,1.9283
45,"{'symbol': 'BTCUSDT', 'longAccount': '0.6586', 'longShortRatio': '1.9291', 'shortAccount': '0.3414', 'timestamp': '1757212500000'}",BTC/USDT:USDT,1757212500000,2025-09-07T02:35:00.000Z,,1.9291
46,"{'symbol': 'BTCUSDT', 'longAccount': '0.6585', 'longShortRatio': '1.9283', 'shortAccount': '0.3415', 'timestamp': '1757212800000'}",BTC/USDT:USDT,1757212800000,2025-09-07T02:40:00.000Z,,1.9283
47,"{'symbol': 'BTCUSDT', 'longAccount': '0.6582', 'longShortRatio': '1.9257', 'shortAccount': '0.3418', 'timestamp': '1757213100000'}",BTC/USDT:USDT,1757213100000,2025-09-07T02:45:00.000Z,,1.9257
48,"{'symbol': 'BTCUSDT', 'longAccount': '0.6581', 'longShortRatio': '1.9248', 'shortAccount': '0.3419', 'timestamp': '1757213400000'}",BTC/USDT:USDT,1757213400000,2025-09-07T02:50:00.000Z,,1.9248
