date,timestamp,open,high,low,close,volume,fundingRate,markPrice,openInterestAmount,openInterestValue,CMCCirculatingSupply,daily_close_ratio,daily_close_pct_change,log_daily_close_ratio,daily_open_close_ratio,daily_volatility,log_daily_volatility,rolling_20_annual_365_volatility,rolling_20_annual_252_volatility
2022-09-14,1663113600000,20173.62,20541.48,19617.62,20226.71,340826.40151,-3.953e-05,,,,,,,,1.0026316546063623,,,,
2022-09-15,1663200000000,20227.17,20330.24,19497.0,19701.88,333069.76076,3.24e-06,,,,,0.9740526264528439,-0.02594737354715615,-0.026289945533484776,0.9740304748514005,,,,
2022-09-16,1663286400000,19701.88,19890.0,19320.01,19803.3,283791.07064,8.055e-05,,,,,1.005147732094602,0.005147732094602064,0.00513452781707948,1.005147732094602,,,,
2022-09-17,1663372800000,19803.3,20189.0,19748.08,20113.62,179350.24338,3.024e-05,,,,,1.0156701155867962,0.015670115586796207,0.0155486070502051,1.0156701155867962,,,,
2022-09-18,1663459200000,20112.61,20117.26,19335.62,19416.18,254217.46904,6.428e-05,,,,,0.965324988738974,-0.03467501126102601,-0.03529045844411419,0.9653734647069674,,,,
2022-09-19,1663545600000,19417.45,19686.2,18232.56,19537.02,380512.40306,3.581e-05,,,,,1.006223675305853,0.006223675305853105,0.006204388221696427,1.0061578631591688,,,,
2022-09-20,1663632000000,19537.02,19634.62,18711.87,18875.0,324098.3286,7.813e-05,,,,,0.9661145865643788,-0.03388541343562124,-0.03447283217250921,0.9661145865643788,,,,
2022-09-21,1663718400000,18874.31,19956.0,18125.98,18461.36,385034.10021,5.185e-05,,,,,0.9780852980132451,-0.021914701986754936,-0.022158395968022992,0.9781210544915284,,,,
2022-09-22,1663804800000,18461.36,19550.17,18356.39,19401.63,379321.72111,-0.00011779,,,,,1.0509317840072454,0.050931784007245406,0.049677183991239306,1.0509317840072454,,,,
2022-09-23,1663891200000,19401.63,19500.0,18531.42,19289.91,385886.91829,7.261e-05,,,,,0.9942417209275715,-0.00575827907242854,-0.005774921881411174,0.9942417209275715,,,,
2022-09-24,1663977600000,19288.57,19316.14,18805.34,18920.5,239496.56746,2.947e-05,,,,,0.9808495736890426,-0.019150426310957425,-0.019336170941039267,0.9809177144806484,0.026682088677059266,0.026566398780253537,0.5075503360409503,0.4217285064187232
2022-09-25,1664064000000,18921.99,19180.21,18629.2,18807.38,191191.4492,9.99e-06,,,,,0.9940212996485295,-0.005978700351470523,-0.0059966443373075,0.993943026077067,0.02578337796352724,0.025661312666506404,0.4902586901171602,0.40736070978628625
2022-09-26,1664150400000,18809.13,19318.96,18680.72,19227.82,439239.21943,-6.6e-06,,,,,1.0223550542393465,0.022355054239346472,0.02210884264131569,1.0222599344041963,0.027030858496609356,0.026911156022793148,0.5141369139113989,0.4272013579774124
2022-09-27,1664236800000,19226.68,20385.86,18816.32,19079.13,593260.74161,2.244e-05,,,,,0.992266934057007,-0.007733065942992945,-0.00776312114359553,0.9923257681513398,0.026274057184332397,0.0261290847343521,0.49919546292515266,0.4147863611569791
2022-09-28,1664323200000,19078.1,19790.0,18471.28,19412.82,521385.45547,1.141e-05,,,,,1.0174897912011711,0.017489791201171112,0.01733860506675769,1.0175447240553306,0.024858876545346312,0.024672467534948447,0.4713668304049682,0.3916632799667304
2022-09-29,1664409600000,19412.82,19645.52,18843.01,19591.51,406424.93256,5.681e-05,,,,,1.0092047420209944,0.009204742020994416,0.009162636565833372,1.0092047420209944,0.024956050460468577,0.024772885346290685,0.47328530999690793,0.3932573633028082
2022-09-30,1664496000000,19590.54,20185.0,19155.36,19422.61,444322.9534,0.0001,,,,,0.9913789187255093,-0.008621081274490683,-0.008658457767896248,0.9914280055577845,0.022209645905627157,0.02193130089492765,0.4189969152804192,0.34814860857664115
2022-10-01,1664582400000,19422.61,19484.0,19159.42,19310.95,165625.13959,3.198e-05,,,,,0.9942510301138725,-0.005748969886127497,-0.00576555882359139,0.9942510301138725,0.020726838822783002,0.020413630257692873,0.3900018584682575,0.3240563341072723
2022-10-02,1664668800000,19312.24,19395.91,18920.35,19056.8,206812.47032,4.262e-05,,,,,0.9868390731683319,-0.01316092683166814,-0.013248299277497894,0.9867731552631904,0.013487222832401679,0.013451201936857851,0.2569848521690274,0.21353121095901734
2022-10-03,1664755200000,19057.74,19719.1,18959.68,19629.08,293585.75212,3.996e-05,,,,,1.0300302254313423,0.03003022543134226,0.029588146889959064,1.029979420434952,0.016667105288336825,0.016574080737169667,0.316647367876333,0.26310537504034215
2022-10-04,1664841600000,19629.08,20475.0,19490.6,20337.82,327012.00127,0.0001,,,,,1.0361066336272509,0.03610663362725086,0.0354700667521785,1.0361066336272509,0.018028476555662906,0.0178422495382129,0.34087569880105606,0.2832369306484102
2022-10-05,1664928000000,20337.82,20365.6,19730.0,20158.26,312239.75224,0.0001,,,,,0.9911711284690295,-0.00882887153097045,-0.008868076947532767,0.9911711284690295,0.018284103329600135,0.018099894523166855,0.3457979993271569,0.28732691798879706
